ano;lat;long;semana_inicio;semana_fim;cnpj;raz�o_social;endere�o;n_int;complemento;bairro;cep;munic�pio;estado;bandeira;pre�o_venda_gasolina;pre�o_compra_gasolina;modalidade_de_compra_gasolina;distribuidora_gasolina;pre�o_venda_etano;pre�o_compra_etanol;modalidade_de_compra_etanol;distribuidora_etanol;pre�o_venda_diesel;pre�o_compra_diesel;modalidade_de_compra_diesel;distribuidora_diesel;pre�o_venda_diesel_s10;pre�o_compra_diesel_s10;modalidade_de_compra_diesel_s10;distribuidora_diesel_s10;pre�o_venda_gnv;pre�o_compra_gnv;modalidade_de_compra_gnv;distribuidora_gnv;data_da_coleta
2012;-158.112.873;-480.768.439;01/01/12;07/01/12;00.603.738/0001-43;GASOL COMBUSTÍVEIS AUTOMOTIVOS LTDA.;QI-QUADRA INTERNA 18  LOTES 47, 49, 51 E 53;S/N;;TAGUATINGA;72315000;BRASILIA;DISTRITO FEDERAL;PETROBRAS DISTRIBUIDORA S.A.;2,83;;;;2,27;;;;2,09;;;;;;;;;;;;05/01/12
2012;-158.206.127;-480.846.338;01/01/12;07/01/12;08.978.109/0001-00;AUTO POSTO CAPITAL LTDA.;LOCALIDADE CNL 01 LOTE E;S/Nº;PLL 01;TAGUATINGA;72150770;BRASILIA;DISTRITO FEDERAL;RAIZEN;2,83;;;;2,27;;;;2,09;;;;;;;;;;;;05/01/12
2012;-158.108.566;-480.769.917;01/01/12;07/01/12;09.075.858/0001-90;AUTO POSTO ORIGINAL DERIVADOS DE PETRÓLEO LTDA;QI-QUADRA INTERNA 21;S/N;LOTES 02, 04, 06 E 08;TAGUATINGA;72135210;BRASILIA;DISTRITO FEDERAL;ALESAT;2,84;;;;2,27;;;;2,08;;;;;;;;;;;;05/01/12
2012;-158.162.413;-478.450.591;01/01/12;07/01/12;37.063.328/0013-09;AUTO SHOPPING DERIVADOS DE PETROLEO LTDA;SETOR SCE/SUL TRECHO 02 CONJUNTO 03;S/N;PARTE POSTO DE COMB.;BRASILIA;70200002;BRASILIA;DISTRITO FEDERAL;BRANCA;2,83;;;;2,25;;;;1,99;;;;;;;;;;;;05/01/12
2012;-158.517.848;-480.418.722;01/01/12;07/01/12;08.642.617/0001-12;SARIEDYN COMBUSTIVEIS, LUBRIFICANTES E REPARACAO LTDA;QUADRA CSB 03 LOTE 01 PARTE A;S/N;;TAGUATINGA SUL;72015535;BRASILIA;DISTRITO FEDERAL;BRANCA;2,83;;;;2,25;;;;2,04;;;;;;;;;;;;05/01/12
2012;-158.953.669;-481.482.079;01/01/12;07/01/12;07.347.238/0001-37;AUTO POSTO DF 180 LTDA;QUADRA QN 433 CONJUNTO G LOTE;1;;SAMABAIA;72322570;BRASILIA;DISTRITO FEDERAL;IPIRANGA;2,83;;;;2,27;;;;2,08;;;;;;;;;;;;05/01/12
2012;-158.630.785;-479.589.185;01/01/12;07/01/12;07.822.636/0001-68;PIONEIRO COM. VAREJ. DE DERIVADOS DE PETRÓLEO LTDA.;PLLN 01;1;QD. NB EPNB;NÚCLEO BANDEIRANTES;71725800;BRASILIA;DISTRITO FEDERAL;RAIZEN;2,83;;;;2,27;;;;2,09;;;;;;;;;;;;05/01/12
2012;-158.141.443;-480.926.112;01/01/12;07/01/12;07.129.196/0001-68;J PESSOA DERIVADOS DE PETROLEO LTDA;QUADRA QNL 23 CONJUNTO J LOTE;17;;TAGUATINGA;72152310;BRASILIA;DISTRITO FEDERAL;BRANCA;2,83;;;;2,25;;;;2,05;;;;;;;;;;;;05/01/12
2012;-15.837.736;-478.827.475;01/01/12;07/01/12;00.661.132/0005-98;CANAÃ COMBUSTÍVEIS PARA VEÍCULOS LTDA.;SHIS EPDB QL 02 BLOCO A PAG;S/N;;LAGO SUL;71600700;BRASILIA;DISTRITO FEDERAL;IPIRANGA;2,84;;;;2,27;;;;2,09;;;;;;;;;;;;05/01/12
2012;-158.107.481;-48.065.751;01/01/12;07/01/12;08.111.678/0001-53;HÉLIO PRATES COMÉRCIO DE COMBUSTÍVEIS E DERIVADOS LTDA.;AREA ESPECIAL DO SETOR J;SN;;TAGUATINGA;72140000;BRASILIA;DISTRITO FEDERAL;IPIRANGA;2,84;;;;2,27;;;;2,05;;;;;;;;;;;;05/01/12
2012;-158.741.836;-47.998.738;01/01/12;07/01/12;07.917.405/0001-38;BANTA COMERCIO DE COMBUSTIVEIS LTDA;AREA ADE CONJUNTO 23;LT 35;E 36;AREA DE DESENVOLVIMENTO ECONOMICO (AGUAS CLARAS);71990180;BRASILIA;DISTRITO FEDERAL;ALESAT;2,83;;;;2,27;;;;2,09;;;;;;;;;;;;05/01/12
2012;-156.905.949;-478.637.564;01/01/12;07/01/12;07.821.726/0001-34;DFM - DERIVADOS DE PETRÓLEO LTDA.;ST SPM/SUL;S/N;LOTE 06 EPIA PARK WAY;CANDANGOLANDIA;71200000;BRASILIA;DISTRITO FEDERAL;PETROBRAS DISTRIBUIDORA S.A.;2,84;;;;2,27;;;;2,09;;;;;;;;;;;;04/01/12
2012;-159.950.449;-480.579.445;01/01/12;07/01/12;04.814.024/0001-35;AUTO POSTO RIBEIRO LTDA.;Q-QUADRA QSD;10;ÁREA PARA COMÉRCIO;TAGUATINGA;72020000;BRASILIA;DISTRITO FEDERAL;ALESAT;2,83;;;;2,27;;;;2,08;;;;;;;;;;;;05/01/12
